Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
HfBO3,Hf,B,4,2,0.83,0.27,cubic,0,3.399,3.399,3.399,90,90,90,0,-1.859,1.335,0,7.852,3.519
HfBaO3,Hf,Ba,4,2,0.83,1.35,orthorhombic,3,5.992,6.134,10.097,90,90,90,3.156,-3.268,0.357,0,18.555,-7.285
HfBeO3,Hf,Be,4,2,0.83,0.45,cubic,0,3.411,3.411,3.411,90,90,90,1.19,-2.726,0.764,0,7.939,4.212
HfCdO3,Hf,Cd,4,2,0.83,0.95,orthorhombic,3,5.597,5.763,7.943,90,90,90,2.471,-2.549,0.248,0,12.81,-7.342
HfCoO3,Hf,Co,4,2,0.83,0.75,cubic,0,3.644,3.644,3.644,90,90,90,0,-1.694,1.107,0.13,9.675,0.8
HfCrO3,Hf,Cr,2,4,0.83,0.55,cubic,0,3.767,3.767,3.767,90,90,90,0,-2.046,1.085,0.529,10.687,2.003
HfCuO3,Hf,Cu,4,2,0.83,0.73,cubic,0,3.681,3.681,3.681,90,90,90,0,-1.456,1.17,0,9.972,-0.388
HfDyO3,Hf,Dy,4,2,0.83,1.07,cubic,0,4.235,4.235,4.235,90,90,90,0,-1.967,1.686,0.163,15.186,-6.515
HfFeO3,Hf,Fe,4,2,0.83,0.78,cubic,0,3.774,3.774,3.774,90,90,90,0,-1.634,1.278,0.877,10.751,-
HfGeO3,Hf,Ge,2,4,0.83,0.53,cubic,0,3.818,3.818,3.818,90,90,90,0,-1.351,1.527,0.183,11.127,0.65
HfHgO3,Hf,Hg,4,2,0.83,1.02,orthorhombic,3,5.258,5.545,9.34,90,90,90,1.593,-2.228,0.257,0,13.616,-5.258
HfHoO3,Hf,Ho,4,2,0.83,0.9,cubic,0,4.21,4.21,4.21,90,90,90,0,-2.021,1.643,0.157,14.92,-6.539
HfMgO3,Hf,Mg,4,2,0.83,0.72,cubic,0,3.682,3.682,3.682,90,90,90,1.042,-2.321,1.161,0,9.985,0.79
HfMnO3,Hf,Mn,2,4,0.83,0.53,cubic,0,3.789,3.789,3.789,90,90,90,0,-1.819,1.299,0.773,10.879,1.45
HfNbO3,Hf,Nb,4,2,0.83,0.72,cubic,0,4.003,4.003,4.003,90,90,90,0,-1.795,1.37,0.286,12.824,0.433
HfNiO3,Hf,Ni,4,2,0.83,0.69,cubic,0,3.666,3.666,3.666,90,90,90,0,-1.67,1.13,0.353,9.852,0.593
HfPdO3,Hf,Pd,4,2,0.83,0.86,cubic,0,3.925,3.925,3.925,90,90,90,0,-0.881,1.682,0.001,12.094,-1.971
HfReO3,Hf,Re,4,2,0.83,0.63,cubic,0,3.91,3.91,3.91,90,90,90,0,-1.107,1.709,0.068,11.956,-2.156
HfRuO3,Hf,Ru,4,2,0.83,0.68,cubic,0,3.866,3.866,3.866,90,90,90,0,-1.117,1.566,0,11.56,-2.171
HfSiO3,Hf,Si,2,4,0.83,0.4,cubic,0,3.616,3.616,3.616,90,90,90,0,-1.854,1.383,0.097,9.46,2.102
HfSmO3,Hf,Sm,4,2,0.83,1.22,cubic,0,4.359,4.359,4.359,90,90,90,0,-1.688,1.89,0.176,16.56,-8.751
HfSrO3,Hf,Sr,4,2,0.83,1.18,orthorhombic,3,5.787,5.903,9.284,90,90,90,3.16,-3.325,0.328,0,15.858,-12.667
HfTaO3,Hf,Ta,4,2,0.83,0.72,cubic,0,3.984,3.984,3.984,90,90,90,0,-1.91,1.27,0.318,12.648,0.687
HfTbO3,Hf,Tb,4,2,0.83,0.92,cubic,0,4.261,4.261,4.261,90,90,90,0,-1.777,1.73,0.167,15.473,-7.388
HfTeO3,Hf,Te,4,2,0.83,0.97,cubic,0,4.198,4.198,4.198,90,90,90,0,-0.593,2.1,0.346,14.796,-4.294
HfTiO3,Hf,Ti,2,4,0.83,0.61,cubic,0,3.831,3.831,3.831,90,90,90,0,-2.353,1.048,0.004,11.241,2.226
HfTmO3,Hf,Tm,4,2,0.83,1.03,cubic,0,4.159,4.159,4.159,90,90,90,0,-2.136,1.557,0.145,14.389,-5.651
HfUO3,Hf,U,4,2,0.83,1.03,orthorhombic,3,6.015,6.445,7.303,90,90,90,0,-3.128,0.321,0.631,14.155,-3.025
HfVO3,Hf,V,4,2,0.83,0.79,cubic,0,3.804,3.804,3.804,90,90,90,0,-2.057,1.151,0.534,11.012,1.959
HfWO3,Hf,W,4,2,0.83,0.66,cubic,0,3.937,3.937,3.937,90,90,90,0,-1.419,1.538,0.291,12.201,-1.079
HfZnO3,Hf,Zn,4,2,0.83,0.74,cubic,0,3.765,3.765,3.765,90,90,90,0,-1.546,1.417,0,10.672,-1.354
HgAsO3,Hg,As,1,5,1.19,0.46,rhombohedral,2,5.54,5.54,5.54,59.3,59.3,59.3,0,-0.832,0.354,-,11.83,1.28
HgBiO3,Hg,Bi,1,5,1.19,0.76,rhombohedral,2,5.967,5.967,5.967,59.3,59.3,59.3,0,-0.914,0.038,-,14.794,-0.785
HgCoO3,Hg,Co,2,4,1.14,0.53,rhombohedral,2,5.275,5.275,5.275,60.9,60.9,60.9,0,-0.588,0.22,0.231,10.585,-1.207
HgCrO3,Hg,Cr,1,5,1.19,0.49,orthorhombic,3,5.426,5.478,7.543,90,90,90,0,-1.298,0.153,0.4,11.21,0.364
HgFeO3,Hg,Fe,2,4,1.14,0.59,orthorhombic,3,5.37,5.438,7.639,90,90,90,0,-0.88,0.126,0.8,11.153,-0.324
HgGeO3,Hg,Ge,2,4,1.14,0.53,rhombohedral,2,5.376,5.376,5.376,59.7,59.7,59.7,0.264,-1.168,0.163,-,10.906,1.602
HgHfO3,Hg,Hf,2,4,1.14,0.71,rhombohedral,2,5.758,5.758,5.758,58.3,58.3,58.3,1.478,-2.418,0.067,0,12.975,0.852
HgIrO3,Hg,Ir,1,5,1.19,0.57,rhombohedral,2,5.434,5.434,5.434,61.7,61.7,61.7,0,-0.614,0.207,0.092,11.774,1.554
HgMnO3,Hg,Mn,2,4,1.14,0.53,orthorhombic,3,5.379,5.43,7.599,90,90,90,0,-1.11,0.123,0.6,11.099,-0.273
HgMoO3,Hg,Mo,1,5,1.19,0.61,cubic,0,3.961,3.961,3.961,90,90,90,0,-1.403,0.327,0,12.426,3.003
HgNbO3,Hg,Nb,1,5,1.19,0.64,tetragonal,1,3.985,3.985,4.152,90,90,90,0,-1.862,0.215,0,13.185,2.488
HgNiO3,Hg,Ni,2,4,1.14,0.48,orthorhombic,3,5.384,5.488,7.449,90,90,90,0,-0.426,0.252,0.41,11.005,-1.642
HgPdO3,Hg,Pd,2,4,1.14,0.62,orthorhombic,3,5.486,5.599,7.84,90,90,90,0,-0.438,0.087,-,12.04,-1.285
HgReO3,Hg,Re,1,5,1.19,0.58,cubic,0,3.937,3.937,3.937,90,90,90,0,-1.079,0.441,0.001,12.206,3.003
HgRhO3,Hg,Rh,2,4,1.14,0.6,rhombohedral,2,5.43,5.43,5.43,61.4,61.4,61.4,0,-0.628,0.176,0.2,11.671,0.407
HgRuO3,Hg,Ru,1,5,1.19,0.57,rhombohedral,2,5.424,5.424,5.424,61.3,61.3,61.3,0,-0.767,0.175,0.222,11.602,1.303
HgSbO3,Hg,Sb,1,5,1.19,0.6,orthorhombic,2,5.694,5.771,8.207,90,90,90,0,-1.057,0.215,-,13.485,1.819
HgSiO3,Hg,Si,2,4,1.14,0.4,tetragonal,1,3.376,3.376,4.762,90,90,90,0,-1.694,0.332,-,10.855,1.748
HgSnO3,Hg,Sn,2,4,1.14,0.69,rhombohedral,2,5.7,5.7,5.7,59.2,59.2,59.2,0.23,-1.298,0.056,-,12.864,0.557
HgTaO3,Hg,Ta,1,5,1.19,0.64,cubic,0,4.019,4.019,4.019,90,90,90,0,-2.082,0.2,0,12.982,2.814
HgTeO3,Hg,Te,2,4,1.14,0.97,orthorhombic,3,5.765,5.857,8.315,90,90,90,0,-0.813,0.167,-,14.038,0.164
HgTiO3,Hg,Ti,2,4,1.14,0.61,rhombohedral,2,5.508,5.508,5.508,58.9,58.9,58.9,1.52,-2.038,0.09,0,11.512,1.847
HgUO3,Hg,U,1,5,1.19,0.76,tetragonal,1,4.323,4.323,4.341,90,90,90,0,-2.351,0.165,0.162,16.227,2.17
HgVO3,Hg,V,2,4,1.14,0.58,orthorhombic,3,5.372,5.384,7.796,90,90,90,0.65,-1.579,0.147,0.201,11.274,1.811
HgWO3,Hg,W,1,5,1.19,0.62,cubic,0,3.966,3.966,3.966,90,90,90,0,-1.52,0.437,0,12.472,3.652
HgZrO3,Hg,Zr,2,4,1.14,0.72,rhombohedral,2,5.821,5.821,5.821,58.2,58.2,58.2,1.717,-2.276,0.086,0,13.384,0.184
HoAgO3,Ho,Ag,3,3,1.12,0.75,cubic,0,4.012,4.012,4.012,90,90,90,0,-1.406,0.644,0,12.913,-0.655
HoAlO3,Ho,Al,3,3,1.12,0.54,orthorhombic,3,5.149,5.345,7.36,90,90,90,6.137,-3.595,-0.025,0,10.127,6.291
HoAsO3,Ho,As,3,3,1.12,0.58,cubic,0,3.985,3.985,3.985,90,90,90,0,-1.881,0.815,0,12.658,2.079
HoBO3,Ho,B,3,3,1.12,0.27,cubic,0,3.443,3.443,3.443,90,90,90,3.049,-2.528,0.797,0,8.163,5.471
HoCeO3,Ho,Ce,2,4,1.12,0.87,cubic,0,4.532,4.532,4.532,90,90,90,0,-2.274,1.423,0,18.614,-3.213
HoCoO3,Ho,Co,3,3,1.12,0.61,orthorhombic,3,5.157,5.558,7.44,90,90,90,1.399,-2.54,0.023,0,10.662,2.32
HoCrO3,Ho,Cr,3,3,1.12,0.62,orthorhombic,3,5.247,5.561,7.561,90,90,90,2.474,-3.211,-0.033,0.6,11.031,4.185
HoCuO3,Ho,Cu,3,3,1.12,0.54,orthorhombic,3,5.195,5.84,7.163,90,90,90,0,-2.288,0.051,0,10.867,0.608
HoFeO3,Ho,Fe,3,3,1.12,0.65,orthorhombic,3,5.264,5.587,7.597,90,90,90,1.206,-2.789,-0.027,1,11.17,3.094
HoGaO3,Ho,Ga,3,3,1.12,0.62,orthorhombic,3,5.239,5.542,7.536,90,90,90,4.108,-2.978,0.02,0,10.94,4.388
HoGeO3,Ho,Ge,2,4,1.12,0.53,cubic,0,3.86,3.86,3.86,90,90,90,0,-2.193,0.594,0,11.5,2.734
HoHfO3,Ho,Hf,2,4,1.12,0.71,cubic,0,4.068,4.068,4.068,90,90,90,0,-3.106,0.558,0,13.461,4.459
HoIrO3,Ho,Ir,2,4,1.12,0.63,cubic,0,3.944,3.944,3.944,90,90,90,0,-1.62,0.796,0.001,12.273,-1.028
HoMnO3,Ho,Mn,3,3,1.12,0.65,orthorhombic,3,5.257,5.71,7.464,90,90,90,0.399,-2.965,0.031,0.8,11.203,3.421
HoMoO3,Ho,Mo,2,4,1.12,0.65,cubic,0,3.949,3.949,3.949,90,90,90,0,-2.251,0.655,0.005,12.312,1.541
HoNbO3,Ho,Nb,2,4,1.12,0.68,cubic,0,4.021,4.021,4.021,90,90,90,0,-2.574,0.65,0,13.003,2.995
HoNiO3,Ho,Ni,3,3,1.12,0.6,orthorhombic,3,5.143,5.517,7.365,90,90,90,0,-2.415,0.019,0.2,10.449,0.995
HoPbO3,Ho,Pb,2,4,1.12,0.78,cubic,0,4.274,4.274,4.274,90,90,90,0,-1.469,1.085,0,15.614,0.529
HoPdO3,Ho,Pd,2,4,1.12,0.62,cubic,0,3.946,3.946,3.946,90,90,90,0,-1.695,0.502,0,12.286,-0.18
HoPrO3,Ho,Pr,2,4,1.12,0.85,cubic,0,4.485,4.485,4.485,90,90,90,0,-2.371,1.354,0,18.049,-2.886
HoReO3,Ho,Re,2,4,1.12,0.63,cubic,0,3.941,3.941,3.941,90,90,90,0,-1.879,0.86,0.163,12.242,0.068
HoRhO3,Ho,Rh,2,4,1.12,0.6,cubic,0,3.908,3.908,3.908,90,90,90,0,-1.831,0.573,0,11.935,-0.263
HoRuO3,Ho,Ru,2,4,1.12,0.62,cubic,0,3.907,3.907,3.907,90,90,90,0,-1.885,0.622,0.13,11.932,0.556
HoSbO3,Ho,Sb,3,3,1.12,0.76,cubic,0,4.201,4.201,4.201,90,90,90,0,-1.706,1.021,0,14.823,0.72
HoScO3,Ho,Sc,3,3,1.12,0.75,cubic,0,3.98,3.98,3.98,90,90,90,2.543,-3.293,0.551,0,12.606,5.011
HoSiO3,Ho,Si,3,3,1.12,0.4,cubic,0,3.672,3.672,3.672,90,90,90,0,-2.626,0.741,0.001,9.905,4.541
HoSnO3,Ho,Sn,2,4,1.12,0.69,cubic,0,4.095,4.095,4.095,90,90,90,0,-1.982,0.875,0,13.735,2.228
HoTaO3,Ho,Ta,2,4,1.12,0.68,cubic,0,4.001,4.001,4.001,90,90,90,0,-2.654,0.684,0.001,12.806,3.002
HoTbO3,Ho,Tb,2,4,1.12,0.76,cubic,0,4.284,4.284,4.284,90,90,90,1.246,-2.688,1.029,0,15.722,0.263
HoTeO3,Ho,Te,2,4,1.12,0.97,cubic,0,4.23,4.23,4.23,90,90,90,0,-1.395,1.171,0.003,15.135,0.712
HoThO3,Ho,Th,2,4,1.12,0.94,cubic,0,4.552,4.552,4.552,90,90,90,0,-2.753,1.091,0.008,18.864,2.036
HoTiO3,Ho,Ti,2,4,1.12,0.61,orthorhombic,3,5.28,5.658,7.611,90,90,90,0,-3.468,0.03,0.2,11.369,4.64
HoUO3,Ho,U,2,4,1.12,0.89,cubic,0,4.383,4.383,4.383,90,90,90,0,-2.55,1.105,0.531,16.841,1.679
HoVO3,Ho,V,2,4,1.12,0.58,orthorhombic,3,5.278,5.64,7.6,90,90,90,1.255,-3.276,-0.023,0.4,11.313,3.926
HoWO3,Ho,W,2,4,1.12,0.66,cubic,0,3.956,3.956,3.956,90,90,90,0,-2.173,0.782,0.001,12.386,1.073
HoZrO3,Ho,Zr,2,4,1.12,0.72,cubic,0,4.12,4.12,4.12,90,90,90,0,-2.936,0.645,0,13.982,4.086
InAlO3,In,Al,3,3,0.92,0.54,orthorhombic,3,5.081,5.259,7.411,90,90,90,2.606,-2.493,0.061,-,9.902,0.82
InAsO3,In,As,3,3,0.92,0.58,cubic,0,3.895,3.895,3.895,90,90,90,0,-1.042,0.603,-,11.82,1.249
InBO3,In,B,3,3,0.92,0.27,cubic,0,3.43,3.43,3.43,90,90,90,0,-1.122,1.178,-,8.071,1.385
InBiO3,In,Bi,1,5,0.92,0.76,cubic,0,4.272,4.272,4.272,90,90,90,0,-0.946,0.713,-,15.596,-1.408
InCoO3,In,Co,3,3,0.92,0.61,cubic,0,3.721,3.721,3.721,90,90,90,0,-0.986,0.563,0.004,10.303,0.504
InCrO3,In,Cr,1,5,0.92,0.49,cubic,0,3.821,3.821,3.821,90,90,90,0,-1.622,0.541,0.543,11.16,0.425
InCuO3,In,Cu,3,3,0.92,0.54,cubic,0,3.732,3.732,3.732,90,90,90,0,-0.724,0.52,-,10.4,-1.222
InGeO3,In,Ge,2,4,0.92,0.53,orthorhombic,3,5.32,5.507,7.963,90,90,90,0,-1.499,0.29,-,11.666,2.283
InIrO3,In,Ir,1,5,0.92,0.57,cubic,0,3.956,3.956,3.956,90,90,90,0,-0.763,0.638,0.055,12.384,1.675
InMnO3,In,Mn,3,3,0.92,0.65,rhombohedral,2,5.391,5.391,5.391,60.1,60.1,60.1,0,-1.799,0.142,0.8,11.094,-0.201
InMoO3,In,Mo,1,5,0.92,0.61,cubic,0,3.995,3.995,3.995,90,90,90,0,-1.703,0.204,0,12.755,4.26
InNbO3,In,Nb,1,5,0.92,0.64,tetragonal,1,4.011,4.011,4.243,90,90,90,0,-2.168,0.133,0,13.652,-
InNiO3,In,Ni,3,3,0.92,0.6,cubic,0,3.695,3.695,3.695,90,90,90,0,-0.854,0.564,0.181,10.086,-1.396
InReO3,In,Re,1,5,0.92,0.58,cubic,0,3.961,3.961,3.961,90,90,90,0,-1.363,0.328,0,12.433,4.128
InRuO3,In,Ru,1,5,0.92,0.57,orthorhombic,3,5.337,5.443,7.699,90,90,90,0,-1.298,0.193,0.2,11.183,1.818
InSbO3,In,Sb,1,5,0.92,0.6,tetragonal,1,4.071,4.071,4.1,90,90,90,0,-1.262,0.45,-,13.586,2.2
InSiO3,In,Si,2,4,0.92,0.4,cubic,0,3.635,3.635,3.635,90,90,90,0,-1.906,0.553,-,9.607,3.913
InTaO3,In,Ta,1,5,0.92,0.64,tetragonal,1,4.023,4.023,4.057,90,90,90,0,-2.355,0.16,0,13.135,-
InTeO3,In,Te,2,4,0.92,0.97,cubic,0,4.16,4.16,4.16,90,90,90,0,-0.981,0.554,-,14.403,1.509
InTiO3,In,Ti,2,4,0.92,0.61,orthorhombic,3,5.347,5.565,7.859,90,90,90,0,-2.373,0.187,0.155,11.691,2.919
InUO3,In,U,1,5,0.92,0.76,cubic,0,4.371,4.371,4.371,90,90,90,1.969,-2.665,0.241,0.2,16.707,-
InVO3,In,V,2,4,0.92,0.58,rhombohedral,2,5.418,5.418,5.418,59.9,59.9,59.9,0.327,-2.129,0.109,0.4,11.215,1.484
InWO3,In,W,1,5,0.92,0.62,cubic,0,3.998,3.998,3.998,90,90,90,0,-1.795,0.162,0,12.785,4.921
IrAgO3,Ir,Ag,3,3,0.68,0.75,cubic,0,3.99,3.99,3.99,90,90,90,0,0.947,1.691,0.749,12.707,-9.786
IrAlO3,Ir,Al,3,3,0.68,0.54,cubic,0,3.635,3.635,3.635,90,90,90,0,-1.035,1.076,0.011,9.602,-1.626
IrAsO3,Ir,As,3,3,0.68,0.58,cubic,0,3.825,3.825,3.825,90,90,90,0,0.107,1.309,0.561,11.189,-0.51
IrBO3,Ir,B,3,3,0.68,0.27,cubic,0,3.392,3.392,3.392,90,90,90,0,-0.128,1.663,-0.002,7.806,-0.705
IrBeO3,Ir,Be,4,2,0.63,0.45,cubic,0,3.431,3.431,3.431,90,90,90,0,-0.574,1.251,0.004,8.079,-3.711
IrCeO3,Ir,Ce,3,3,0.68,1.01,cubic,0,4.511,4.511,4.511,90,90,90,0,-0.255,1.984,0.819,18.353,-9.956
IrCoO3,Ir,Co,3,3,0.68,0.61,cubic,0,3.658,3.658,3.658,90,90,90,0,0.152,1.31,0.228,9.79,-5.721
IrCrO3,Ir,Cr,3,3,0.68,0.62,cubic,0,3.79,3.79,3.79,90,90,90,0,-0.477,1.243,0.527,10.89,-2.471
IrCuO3,Ir,Cu,3,3,0.68,0.54,cubic,0,3.686,3.686,3.686,90,90,90,0,0.431,1.392,0.111,10.019,-6.058
IrDyO3,Ir,Dy,3,3,0.68,0.91,cubic,0,4.28,4.28,4.28,90,90,90,0,-0.644,1.76,0.805,15.678,-8.381
IrErO3,Ir,Er,3,3,0.68,0.89,cubic,0,4.239,4.239,4.239,90,90,90,0,-0.717,1.711,0.806,15.236,-7.964
IrEuO3,Ir,Eu,3,3,0.68,0.95,rhombohedral,2,6.062,6.062,6.062,58.3,58.3,58.3,0,-1.774,0.323,0.2,15.125,-13.252
IrFeO3,Ir,Fe,3,3,0.68,0.65,cubic,0,3.795,3.795,3.795,90,90,90,0,-0.072,1.231,1.576,10.929,-4.804
IrGaO3,Ir,Ga,3,3,0.68,0.62,cubic,0,3.763,3.763,3.763,90,90,90,0,-0.219,1.31,0.415,10.655,-4.314
IrGdO3,Ir,Gd,3,3,0.68,0.94,cubic,0,4.324,4.324,4.324,90,90,90,0,-0.563,1.812,0.819,16.172,-8.807
IrHfO3,Ir,Hf,3,3,0.68,0.71,cubic,0,4.055,4.055,4.055,90,90,90,0,-1.384,1.238,0.607,13.331,-1.374
IrHoO3,Ir,Ho,3,3,0.68,0.9,cubic,0,4.259,4.259,4.259,90,90,90,0,-0.682,1.735,0.804,15.449,-8.17
IrInO3,Ir,In,3,3,0.68,0.8,cubic,0,4.1,4.1,4.1,90,90,90,0,0.209,1.61,0.802,13.785,-7.545
Ir2O3,Ir,Ir,3,3,0.68,0.68,cubic,0,3.898,3.898,3.898,90,90,90,0,0.431,1.389,0.565,11.848,-2.173
IrLaO3,Ir,La,3,3,0.68,1.03,cubic,0,4.464,4.464,4.464,90,90,90,0,-0.39,1.95,0.811,17.797,-9.607
IrLuO3,Ir,Lu,3,3,0.68,0.86,cubic,0,4.177,4.177,4.177,90,90,90,0,-0.826,1.634,0.802,14.576,-7.297
IrMgO3,Ir,Mg,4,2,0.63,0.72,cubic,0,3.724,3.724,3.724,90,90,90,0,-0.299,1.518,0.005,10.333,-7.24
IrMnO3,Ir,Mn,3,3,0.68,0.65,cubic,0,3.784,3.784,3.784,90,90,90,0,-0.268,1.231,1.378,10.835,-4.604
IrMoO3,Ir,Mo,3,3,0.68,0.69,cubic,0,3.909,3.909,3.909,90,90,90,0,-0.548,1.182,0.431,11.944,1.436
IrNbO3,Ir,Nb,3,3,0.68,0.72,cubic,0,3.989,3.989,3.989,90,90,90,0,-0.984,1.158,0.428,12.698,3.086
IrNdO3,Ir,Nd,3,3,0.68,0.98,cubic,0,4.435,4.435,4.435,90,90,90,0,-0.365,1.924,0.815,17.452,-9.617
IrNiO3,Ir,Ni,3,3,0.68,0.6,cubic,0,3.674,3.674,3.674,90,90,90,0,0.259,1.394,0.261,9.919,-3.797
IrPdO3,Ir,Pd,3,3,0.68,0.76,cubic,0,3.926,3.926,3.926,90,90,90,0,0.627,1.525,0.768,12.101,-6.252
IrPrO3,Ir,Pr,3,3,0.68,0.99,cubic,0,4.469,4.469,4.469,90,90,90,0,-0.314,1.97,0.815,17.851,-9.787
IrReO3,Ir,Re,3,3,0.68,0.63,cubic,0,3.885,3.885,3.885,90,90,90,0,-0.213,1.308,0.398,11.731,0.247
IrRhO3,Ir,Rh,3,3,0.68,0.67,cubic,0,3.884,3.884,3.884,90,90,90,0,0.397,1.347,0.743,11.722,-1.62
IrRuO3,Ir,Ru,3,3,0.68,0.68,cubic,0,3.865,3.865,3.865,90,90,90,0,0.168,1.247,0.32,11.548,-0.77
IrScO3,Ir,Sc,3,3,0.68,0.75,cubic,0,4.006,4.006,4.006,90,90,90,0,-0.919,1.464,0.8,12.862,-5.969
IrSmO3,Ir,Sm,3,3,0.68,0.96,cubic,0,4.38,4.38,4.38,90,90,90,0,-0.457,1.873,0.809,16.809,-9.274
IrTaO3,Ir,Ta,3,3,0.68,0.72,cubic,0,3.966,3.966,3.966,90,90,90,0,-1.213,1.138,0.424,12.476,3.661
IrTbO3,Ir,Tb,3,3,0.68,0.92,cubic,0,4.301,4.301,4.301,90,90,90,0,-0.473,1.786,0.807,15.915,-8.596
IrTiO3,Ir,Ti,3,3,0.68,0.67,cubic,0,3.85,3.85,3.85,90,90,90,0,-1.152,1.113,0.603,11.409,-1.56
IrTlO3,Ir,Tl,3,3,0.68,0.89,rhombohedral,2,5.943,5.943,5.943,70.1,70.1,70.1,0.544,-0.731,0.253,0.4,17.947,-10.072
IrTmO3,Ir,Tm,3,3,0.68,0.88,cubic,0,4.215,4.215,4.215,90,90,90,0,-0.764,1.681,0.802,14.978,-7.71
IrUO3,Ir,U,3,3,0.68,1.03,cubic,0,4.298,4.298,4.298,90,90,90,0,-1.349,1.262,0.701,15.876,3.247
IrVO3,Ir,V,3,3,0.68,0.64,cubic,0,3.782,3.782,3.782,90,90,90,0,-0.69,1.131,0.643,10.822,-2.37
IrWO3,Ir,W,3,3,0.68,0.66,cubic,0,3.909,3.909,3.909,90,90,90,0,-0.656,1.3,0.391,11.95,1.469
IrYO3,Ir,Y,3,3,0.68,0.9,cubic,0,4.292,4.292,4.292,90,90,90,0,-0.617,1.766,0.804,15.817,-8.38
IrYbO3,Ir,Yb,3,3,0.68,0.87,rhombohedral,2,5.616,5.616,5.616,62.7,62.7,62.7,0,-1.731,0.375,0.068,13.293,-12.016
IrZrO3,Ir,Zr,3,3,0.68,0.72,cubic,0,4.111,4.111,4.111,90,90,90,0,-1.191,1.308,0.608,13.892,-2.392
KBiO3,K,Bi,1,5,1.64,0.76,orthorhombic,3,5.912,5.97,8.412,90,90,90,0.273,-1.352,0.098,-,14.845,0.393
KCrO3,K,Cr,1,5,1.64,0.49,tetragonal,1,3.614,3.614,5.013,90,90,90,0,-1.76,0.289,0.237,13.099,-0.011
KIrO3,K,Ir,1,5,1.64,0.57,orthorhombic,3,5.521,5.575,7.842,90,90,90,0,-1.133,0.192,0.155,12.069,1.458
KMoO3,K,Mo,1,5,1.64,0.61,rhombohedral,2,5.572,5.572,5.572,60,60,60,0,-2.247,0.032,0,12.235,5.02
KNbO3,K,Nb,1,5,1.64,0.64,tetragonal,1,4.003,4.003,4.161,90,90,90,1.714,-2.697,-0.221,0,13.332,5.482
KReO3,K,Re,1,5,1.64,0.58,cubic,0,3.914,3.914,3.914,90,90,90,0,-1.92,0.008,0,11.989,5.027
KRuO3,K,Ru,1,5,1.64,0.57,orthorhombic,3,5.516,5.517,7.803,90,90,90,0,-1.363,0.089,0,11.871,2.026
KSbO3,K,Sb,1,5,1.64,0.6,orthorhombic,3,5.641,5.649,7.992,90,90,90,0.275,-1.742,0.151,-,12.735,2.508
KTaO3,K,Ta,1,5,1.64,0.64,rhombohedral,2,5.663,5.663,5.663,60,60,60,2.324,-2.92,-0.38,0,12.838,6.626
KVO3,K,V,1,5,1.64,0.54,tetragonal,1,3.685,3.685,4.618,90,90,90,0.284,-2.271,0.099,0,12.542,2.017
KWO3,K,W,1,5,1.64,0.62,orthorhombic,3,5.572,5.577,7.887,90,90,90,0,-2.372,-0.004,-0.001,12.255,6.026
LaAgO3,La,Ag,3,3,1.36,0.75,orthorhombic,3,5.635,5.994,8.08,90,90,90,0,-1.962,0.007,0,13.645,0.272
LaAlO3,La,Al,3,3,1.36,0.54,rhombohedral,2,5.359,5.359,5.359,60.1,60.1,60.1,4.122,-3.561,-0.072,0,10.913,-
LaAsO3,La,As,3,3,1.36,0.58,orthorhombic,3,5.658,5.954,8.122,90,90,90,0,-2.415,0.236,0,13.681,3.038
LaBiO3,La,Bi,3,3,1.36,1.03,cubic,0,4.413,4.413,4.413,90,90,90,0,-1.9,0.693,0,17.183,1.98
LaCeO3,La,Ce,3,3,1.36,1.01,cubic,0,4.558,4.558,4.558,90,90,90,0.687,-2.7,0.916,0,18.942,3.087
LaCoO3,La,Co,3,3,1.36,0.61,orthorhombic,3,5.44,5.454,7.716,90,90,90,0,-2.505,-0.022,0.403,11.446,2.964
LaCrO3,La,Cr,3,3,1.36,0.62,orthorhombic,3,5.506,5.586,7.819,90,90,90,2.07,-3.168,-0.071,0.6,12.024,4.845
LaCuO3,La,Cu,3,3,1.36,0.54,orthorhombic,3,5.414,5.47,7.686,90,90,90,0,-2.237,0.027,0,11.38,1.357
LaDyO3,La,Dy,3,3,1.36,0.91,cubic,0,4.301,4.301,4.301,90,90,90,1.85,-3.253,0.529,0,15.915,4.719
LaErO3,La,Er,3,3,1.36,0.89,orthorhombic,3,5.832,6.04,8.409,90,90,90,4.586,-3.776,0.028,0,14.809,4.912
LaEuO3,La,Eu,3,3,1.36,0.95,cubic,0,4.294,4.294,4.294,90,90,90,0,-2.492,0.723,0.137,15.833,-1.022
LaFeO3,La,Fe,3,3,1.36,0.65,orthorhombic,3,5.52,5.621,7.855,90,90,90,1.092,-2.755,-0.035,1,12.186,4.037
LaGaO3,La,Ga,3,3,1.36,0.62,orthorhombic,3,5.512,5.536,7.815,90,90,90,3.829,-2.935,-0.028,0,11.923,4.934
LaGdO3,La,Gd,3,3,1.36,0.94,cubic,0,4.351,4.351,4.351,90,90,90,1.561,-3.149,0.604,0,16.472,3.005
